pl_name,discoverymethod,pl_orbper,pl_eqt,st_spectype,pl_rade,pl_masse,st_radv,st_lumstr,st_mass
Kepler-132 c,Transit,6.414914,1069,,1.28,,,0.211,0.929
OGLE-2016-BLG-0263L b,Microlensing,,,,13,1.30E+03,,,0.13
OGLE-2017-BLG-0364L b,Microlensing,,,,10.3,7.58E+01,,,0.49
UKIRT-2017-BLG-001L b,Microlensing,,,,13.7,4.07E+02,,,0.81
OGLE-2018-BLG-1126L b,Microlensing,,,,4.41,1.78E+01,,,0.69
KMT-2019-BLG-0298L b,Microlensing,,,,13.4,5.75E+02,,,0.7
Kepler-1430 b,Transit,2.46050993,969,,1.18,,,"<div><span class=supersubNumber"">-0.81552799</span><span class=""superscript"">+0.06794995</span><span class=""subscript"">-0.08058958</span></div>""",0.77
Kepler-924 b,Transit,61.0370117,610,,3.07,,,0.3138244,1.14
K2-73 b,Transit,7.49556,968,,2.58,9.20E+00,-38.40548,"<div><span class=supersubNumber"">0.076089308</span><span class=""superscript"">+0.015768170</span><span class=""subscript"">-0.019348606</span></div>""",1.02
HD 160691 e,Radial Velocity,307.9,,G3 IV-V,,2.22E+03,-9.29081,"<div><span class=supersubNumber"">0.27847945</span><span class=""superscript"">+0.00964683</span><span class=""subscript"">-0.01281384</span></div>""",1.13
HIP 38594 b,Radial Velocity,60.722,,M0,2.77,,62.87679,"<div><span class=supersubNumber"">-1.06243</span><span class=""superscript"">+0.00038</span><span class=""subscript"">-0.00038</span></div>""",0.61
Kepler-1903 b,Transit,17.0678997,769,,2.28642395,,,0.292092,1.053
TOI-5126 c,Transit,17.8999,971,F V,3.86,,,"<div><span class=supersubNumber"">0.299</span><span class=""superscript"">+0.038</span><span class=""subscript"">-0.039</span></div>""",1.24
TOI-5126 b,Transit,5.4588385,1442,F V,4.74,,,"<div><span class=supersubNumber"">0.299</span><span class=""superscript"">+0.038</span><span class=""subscript"">-0.039</span></div>""",1.24
Kepler-1453 b,Transit,47.1611696,503,,2.67,,,-0.139743,0.97
G 264-012 c,Radial Velocity,8.0518,387,M4.0 V,1.76,,,"<div><span class=supersubNumber"">-1.972</span><span class=""superscript"">+0.004</span><span class=""subscript"">-0.005</span></div>""",0.297
HD 128311 b,Radial Velocity,453.019,,K0,13.5,,-9.61658,"<div><span class=supersubNumber"">-0.51159533</span><span class=""superscript"">+0.00069520</span><span class=""subscript"">-0.00069631</span></div>""",0.828
MOA-2016-BLG-526L b,Microlensing,,,,3.97,1.49E+01,,,0.37
OGLE-2018-BLG-1269L b,Microlensing,,,,14.1,2.10E+02,,,1.11
KMT-2018-BLG-0087L b,Microlensing,,,,10.1,7.31E+01,,,0.1
Kepler-535 b,Transit,4.903321551,1247,,2.36,,,"<div><span class=supersubNumber"">0.34059996</span><span class=""superscript"">+0.02261421</span><span class=""subscript"">-0.01708707</span></div>""",1.18
OGLE-2007-BLG-368L b,Microlensing,,,,4.72,2.00E+01,,,0.64
OGLE-2018-BLG-0799L b,Microlensing,,,,10.9,8.26E+01,,,0.093
MOA-2010-BLG-328L b,Microlensing,,,,2.99,9.20E+00,,,0.11
MOA-2012-BLG-006L b,Microlensing,,,,12.6,2.70E+03,,,0.49
